Nombre,Localización,País,Latitud,Longitud,Altura,time_to_eruption_dt
,,,,,,12365392.592550203
,,,,,,19441339.6962646
,,,,,,25531602.13129682
,,,,,,39156883.029043525
,,,,,,24671834.82772377
,,,,,,23576472.091603585
,,,,,,36798400.849934205
,,,,,,29667256.789480638
,,,,,,424373.5563244778
,,,,,,434283.0086427212
,,,,,,37198735.77077097
,,,,,,14562932.239895543
,,,,,,27869364.17350982
,,,,,,30387532.703008443
,,,,,,481718.0512816755
,,,,,,39478504.09937535
,,,,,,37044638.93779568
,,,,,,9801198.653151426
,,,,,,24048975.382241283
,,,,,,18963444.88968233
,,,,,,8618987.796724394
,,,,,,1560724.782557528
,,,,,,26053844.558679093
,,,,,,34019727.31185105
,,,,,,37833871.165252425
,,,,,,16264002.04040953
,,,,,,30956962.498415392
,,,,,,21607272.583659988
,,,,,,29875292.65271723
,,,,,,2503250.11958323
,,,,,,5752966.949674929
,,,,,,7288069.57492935
,,,,,,24857202.72453451
,,,,,,22452673.4326252
,,,,,,19152190.37793753
,,,,,,29116378.62357282
,,,,,,19433504.41252844
,,,,,,24789873.405961275
,,,,,,34396277.089579426
,,,,,,24739135.749973573
,,,,,,44516634.57756458
,,,,,,6182947.378817912
,,,,,,11611885.956104107
,,,,,,27070209.36751753
,,,,,,9591359.237120949
,,,,,,24464680.64737457
,,,,,,32994946.46952291
,,,,,,12664907.966267169
,,,,,,24574712.498101518
,,,,,,44549018.98783924
,,,,,,7192838.044103235
,,,,,,19657650.12862453
,,,,,,10347604.358127248
,,,,,,29456232.708250016
,,,,,,24365501.24136219
,,,,,,44541825.77223943
,,,,,,990401.666837229
,,,,,,6780646.909906818
,,,,,,17491782.18948675
,,,,,,10650107.54021039
,,,,,,5881620.936011575
,,,,,,30482598.615902662
,,,,,,26165501.467063963
,,,,,,1710841.9299748212
,,,,,,35167925.67169399
,,,,,,14579449.484041383
,,,,,,17165426.5744139
,,,,,,41587847.24332938
,,,,,,18071920.806765854
,,,,,,16888520.929623026
,,,,,,18389279.23544275
,,,,,,42041247.405700654
,,,,,,14946087.808776924
,,,,,,36774329.22510788
,,,,,,38295844.57460726
,,,,,,11110088.803137464
,,,,,,10347167.99337148
,,,,,,235195.2340540145
,,,,,,18618403.11298826
,,,,,,32012942.70314024
,,,,,,34332669.239609584
,,,,,,45160425.77720356
,,,,,,26266741.98765905
,,,,,,1005317.2909911154
,,,,,,3076583.450304334
,,,,,,24218722.786228742
,,,,,,6048538.335050565
,,,,,,4301814.593483254
,,,,,,16040553.006555451
,,,,,,31211692.530472312
,,,,,,29706731.76369106
,,,,,,27748005.703986987
,,,,,,37980759.38676526
,,,,,,17454054.946105886
,,,,,,42200300.17288637
,,,,,,40382720.27156391
,,,,,,1731184.302327834
,,,,,,22577220.206349976
,,,,,,5387474.101984762
,,,,,,27346851.24503693
,,,,,,26763603.639229305
,,,,,,45793969.04389699
,,,,,,2952218.9184533283
,,,,,,23601053.77518733
,,,,,,35416191.95188647
,,,,,,838213.1984470683
,,,,,,24332222.859790597
,,,,,,14347390.194440844
,,,,,,39426580.856651135
,,,,,,5752667.640163601
,,,,,,28259913.56332674
,,,,,,18936944.204421364
,,,,,,1722312.5964202671
,,,,,,30303346.566581417
,,,,,,11609121.69232465
,,,,,,27007201.25249569
,,,,,,35584389.40887918
,,,,,,40683502.11420293
,,,,,,36231501.80680174
,,,,,,32813318.09520192
,,,,,,12774590.868443295
,,,,,,26047072.98398704
,,,,,,37680021.07879316
,,,,,,40659276.76316751
,,,,,,4882725.521670156
,,,,,,10201707.69821543
,,,,,,33475407.004421603
,,,,,,19773152.020689595
,,,,,,15699953.483597193
,,,,,,7503278.265869711
,,,,,,12755822.189451678
,,,,,,11831401.286343208
,,,,,,20231229.311465416
,,,,,,36579144.016065896
,,,,,,11640953.205014097
,,,,,,5648690.075907835
,,,,,,26465994.284184407
,,,,,,35070162.985267736
,,,,,,43715596.1738694
,,,,,,33494895.203919
,,,,,,44001558.77335363
,,,,,,18556834.63856285
,,,,,,10876771.110869844
,,,,,,19282065.491908558
,,,,,,26396603.156497784
,,,,,,33067355.695552543
,,,,,,27141969.149449848
,,,,,,36986635.78191104
,,,,,,42932990.629216366
,,,,,,37185296.08430782
,,,,,,46576256.98772748
,,,,,,18286574.53286141
,,,,,,14088126.398700217
,,,,,,18914272.154560227
,,,,,,22825651.50312407
,,,,,,22354846.45556804
,,,,,,13475280.112125631
,,,,,,4886364.999109695
,,,,,,32797450.31349469
,,,,,,38208215.81304479
,,,,,,35399413.51581253
,,,,,,33758331.149782866
,,,,,,44691508.23832382
,,,,,,7436972.113678307
,,,,,,7433329.57062446
,,,,,,4491318.519395113
,,,,,,24315252.45870788
,,,,,,5852785.845920561
,,,,,,22518310.036490954
,,,,,,37188062.31023569
,,,,,,13191889.576590393
,,,,,,31058756.8328425
,,,,,,15623142.190216975
,,,,,,44712510.76350957
,,,,,,39965559.55798004
,,,,,,12545550.005264536
,,,,,,18680240.859587062
,,,,,,35959021.256992705
,,,,,,25440350.94744798
,,,,,,42566813.63841864
,,,,,,38050681.38206837
,,,,,,44716554.0487234
,,,,,,3216941.34801361
,,,,,,309861.16270869086
,,,,,,2655709.675016804
,,,,,,45199277.055017024
,,,,,,30231170.79396219
,,,,,,3271051.562084724
,,,,,,41422478.13112378
,,,,,,20715177.01722166
,,,,,,21021092.767485864
,,,,,,27133738.33810909
,,,,,,59002.704448641685
,,,,,,10366379.070780536
,,,,,,5002096.851545592
,,,,,,14521117.096265048
,,,,,,12626735.907825729
,,,,,,8897601.82960629
,,,,,,40337231.178101726
,,,,,,26325412.81962925
,,,,,,42734594.2813002
,,,,,,7520595.232808518
,,,,,,24274883.764266733
,,,,,,31210674.10688567
,,,,,,40369418.17065447
,,,,,,12316948.30472906
,,,,,,42094911.083572574
,,,,,,29348917.30426032
,,,,,,45384730.38688484
,,,,,,9524164.595067363
,,,,,,26730068.53415388
,,,,,,15621551.95712922
,,,,,,35374488.1375885
,,,,,,17337863.526304938
,,,,,,42579292.86408159
,,,,,,10074597.862827994
,,,,,,21339849.04066775
,,,,,,41006580.95606628
,,,,,,9508013.841854168
,,,,,,7437442.1747693345
,,,,,,26815731.18484272
,,,,,,35085731.96575608
,,,,,,40652689.05173364
,,,,,,22844886.12832819
,,,,,,9347218.768591035
,,,,,,25341955.054530192
,,,,,,46132207.41865114
,,,,,,37161378.41152266
,,,,,,7314093.990457064
,,,,,,27795843.85989312
,,,,,,43479899.00636294
,,,,,,20628171.077902265
,,,,,,12467069.249427533
,,,,,,30639877.864287525
,,,,,,34543657.88332968
,,,,,,19729517.23331892
,,,,,,29986003.045896795
,,,,,,4789234.568595241
,,,,,,43478988.49705576
,,,,,,18462130.22108902
,,,,,,3452150.8307893807
,,,,,,20222847.17776965
,,,,,,9134047.417456357
,,,,,,22900707.069495022
,,,,,,7861989.662243797
,,,,,,20462865.367999237
,,,,,,3573237.729551786
,,,,,,10357107.388065793
,,,,,,31740172.590782423
,,,,,,28159088.41630737
,,,,,,37163545.924108
,,,,,,9282134.868387926
,,,,,,16662907.492202638
,,,,,,7668917.341662663
,,,,,,46380773.45954792
,,,,,,35578650.07599068
,,,,,,28868848.864090137
,,,,,,10544856.965630678
,,,,,,10246417.670746014
,,,,,,1405673.807019262
,,,,,,612564.0273841817
,,,,,,34673864.2866184
,,,,,,24099649.4538684
,,,,,,42981466.90243098
,,,,,,20664352.992760908
,,,,,,5111258.956834444
,,,,,,7030382.02130277
,,,,,,12814732.38714628
,,,,,,15099125.49676965
,,,,,,23438431.459367488
,,,,,,24219610.00855344
,,,,,,42802740.59432194
,,,,,,35448015.27613985
,,,,,,43919972.00989831
,,,,,,15962550.238228643
,,,,,,32240415.607986264
,,,,,,36403779.82400668
,,,,,,43597782.39125101
,,,,,,11815397.412464902
,,,,,,29452106.404900245
,,,,,,5325920.372140359
,,,,,,119479.7446389531
,,,,,,18542363.90866848
,,,,,,26598609.115913447
,,,,,,31431784.20355486
,,,,,,15240913.61898605
,,,,,,13218746.85288369
,,,,,,7084213.631458638
,,,,,,19982519.754715104
,,,,,,26179460.85916972
,,,,,,6290964.126483493
,,,,,,29943065.29908379
,,,,,,12301465.705957172
,,,,,,7381604.248092161
,,,,,,4554596.50477147
,,,,,,33537468.43303598
,,,,,,24160528.356277023
,,,,,,44558416.96165743
,,,,,,29447894.82884162
,,,,,,41289139.5412358
,,,,,,24670062.742845204
,,,,,,24561378.18673691
,,,,,,10869153.33820902
,,,,,,27067387.90527596
,,,,,,38559601.87499729
,,,,,,26468629.76022941
,,,,,,7575139.387389786
,,,,,,31492115.98471887
,,,,,,27881043.726866685
,,,,,,13828002.204032827
,,,,,,18739393.97487487
,,,,,,28683159.5810408
,,,,,,11392997.814702269
,,,,,,36407425.91246732
,,,,,,7920536.558685486
,,,,,,39574587.18964156
,,,,,,6825932.500410002
,,,,,,37415726.301599145
,,,,,,16584965.523521498
,,,,,,26117141.939266626
,,,,,,40061418.46538622
,,,,,,40387709.68846236
,,,,,,39546940.141645305
,,,,,,39978274.122729294
,,,,,,11777072.3498298
,,,,,,3417754.456418211
,,,,,,22725642.32130338
,,,,,,24874662.69186557
,,,,,,24966069.908994146
,,,,,,2726175.392945667
,,,,,,7287336.504244127
,,,,,,36596868.14025003
,,,,,,2546137.6435346277
,,,,,,41335539.58173484
,,,,,,11722885.642837357
,,,,,,7800336.41449566
,,,,,,1356103.6151843762
,,,,,,9947598.557715412
,,,,,,19964691.4977528
,,,,,,13511816.939687887
,,,,,,11536586.319381978
,,,,,,40216438.97684535
,,,,,,16713967.89997252
,,,,,,27368465.66293346
,,,,,,44154879.26256204
,,,,,,11697889.56854644
,,,,,,37229626.90855518
,,,,,,41078215.551993184
,,,,,,16603453.001085076
,,,,,,7805842.974856004
,,,,,,17038557.854025442
,,,,,,2019043.059599811
,,,,,,4622706.618139021
,,,,,,941569.9300027356
,,,,,,3925438.9058736353
,,,,,,38322771.862233095
,,,,,,4940930.240848238
,,,,,,29305309.88236332
,,,,,,15213293.421134643
,,,,,,28521558.09281623
,,,,,,19581541.272515647
,,,,,,31244397.86498908
,,,,,,14605656.578031378
,,,,,,48194887.58863899
,,,,,,3219828.284236748
,,,,,,25311309.69801165
,,,,,,23099414.320841927
,,,,,,5518524.87440794
,,,,,,26570078.705902874
,,,,,,45186305.65190665
,,,,,,1752285.7000958477
,,,,,,25176444.56965112
,,,,,,4504710.382367766
,,,,,,7560493.1007096255
,,,,,,11560015.639594194
,,,,,,1507612.5712863656
,,,,,,18132194.39310488
,,,,,,30843008.341081187
,,,,,,11197106.59147244
,,,,,,12998099.351375831
,,,,,,31813291.100122645
,,,,,,24050069.56511923
,,,,,,9936654.907759894
,,,,,,20763045.5359914
,,,,,,173038.52202664892
,,,,,,6845227.987738269
,,,,,,8009706.345616054
,,,,,,32451943.40549404
,,,,,,43248944.07759904
,,,,,,19382824.16060665
,,,,,,45899736.363345936
,,,,,,24905764.855676483
,,,,,,42446803.565589786
,,,,,,6610766.058387985
,,,,,,41127001.68624515
,,,,,,5097636.477147352
,,,,,,5678543.256930135
,,,,,,3219776.935177552
,,,,,,1131300.4859437123
,,,,,,40219960.092916295
,,,,,,12053472.475624183
,,,,,,15099620.056670709
,,,,,,26618776.864461947
,,,,,,44515652.13535277
,,,,,,23875517.020381752
,,,,,,36003074.12572356
,,,,,,22633942.09002922
,,,,,,28959777.907534186
,,,,,,40572520.93705887
,,,,,,45636361.83084222
,,,,,,47241021.898487926
,,,,,,41167203.601502016
,,,,,,41676683.02606961
,,,,,,42274665.29223624
,,,,,,13907872.450963978
,,,,,,1592743.7172041985
,,,,,,25260905.730254643
,,,,,,16804564.050753675
,,,,,,6917864.032895271
,,,,,,45845112.87612174
,,,,,,20646082.534555774
,,,,,,4232232.281997062
,,,,,,4898167.666665997
,,,,,,23011757.29536898
,,,,,,33870979.26715524
,,,,,,20499993.61770418
,,,,,,6725557.830931458
,,,,,,38330584.90652323
,,,,,,-13312.68926537529
,,,,,,20541945.74123796
,,,,,,18762113.455230717
,,,,,,29671378.4458905
,,,,,,33841778.23635045
,,,,,,22709502.952117823
,,,,,,17971777.159452543
,,,,,,8780345.261588477
,,,,,,13658667.391659182
,,,,,,7947861.787311662
,,,,,,14838125.748350937
,,,,,,19541143.63290242
,,,,,,43043011.59957392
,,,,,,40093793.08532071
,,,,,,33709447.025897115
,,,,,,36920595.54697495
,,,,,,20084886.06009193
,,,,,,28596549.52487642
,,,,,,33442171.49110185
,,,,,,14768530.21491588
,,,,,,37412446.90167813
,,,,,,34816709.809432566
,,,,,,35606632.695992455
,,,,,,14233853.8872869
,,,,,,33200649.439004134
,,,,,,39938456.65992188
,,,,,,44992338.53687783
,,,,,,22760252.686847664
,,,,,,533472.0011097061
,,,,,,7947614.985236889
,,,,,,43059043.66972411
,,,,,,39460943.29624989
,,,,,,13291311.297613556
,,,,,,36635983.627826326
,,,,,,38640165.32305318
,,,,,,1931853.9055353769
,,,,,,19554865.53790234
,,,,,,28433688.4388268
,,,,,,30805092.66004002
,,,,,,41103872.290572844
,,,,,,35038080.713559866
,,,,,,44354395.29965518
,,,,,,18123794.433443047
,,,,,,13371116.55197636
,,,,,,8310492.365828597
,,,,,,41369778.63892434
,,,,,,10826082.846583432
,,,,,,14647465.175092729
,,,,,,21645363.716403063
,,,,,,42056538.16688196
,,,,,,10349836.200897466
,,,,,,10977481.452197883
,,,,,,11443376.039057327
,,,,,,1798626.9004959995
,,,,,,33815556.94034726
,,,,,,5936606.002891249
,,,,,,30795740.58483325
,,,,,,20366949.32837907
,,,,,,16724391.984146174
,,,,,,28971724.38384838
,,,,,,29652561.007322464
,,,,,,4419937.940527868
,,,,,,29646995.48171084
,,,,,,43098151.13041029
,,,,,,21922912.70036267
,,,,,,8526511.015787328
,,,,,,28979674.013724934
,,,,,,25880086.147937678
,,,,,,29825057.94086233
,,,,,,7543711.328616015
,,,,,,34146345.8977161
,,,,,,25994855.044573776
,,,,,,10104032.925618228
,,,,,,15736976.33461359
,,,,,,19435312.097009804
,,,,,,43584742.12245075
,,,,,,39527171.27424845
,,,,,,13301300.246939162
,,,,,,9039649.904910468
,,,,,,6171926.413738204
,,,,,,12520463.229083894
,,,,,,22348009.886123016
,,,,,,34510420.720825374
,,,,,,25862098.439921133
,,,,,,28350352.90161809
,,,,,,28426124.30876684
,,,,,,13982500.200824777
,,,,,,18309317.6276632
,,,,,,6030120.368920685
,,,,,,13146916.670845767
,,,,,,15238106.48906665
,,,,,,17519415.946898054
,,,,,,34134554.335232854
,,,,,,9275639.011057094
,,,,,,36813801.76111979
,,,,,,20459032.434759367
,,,,,,36151241.315326415
,,,,,,36322319.290102206
,,,,,,25250784.42672397
,,,,,,39902204.99772353
,,,,,,13401748.259903232
,,,,,,7978060.748446654
,,,,,,7423320.331368453
,,,,,,42223146.270488754
,,,,,,30052991.2544613
,,,,,,22032786.15799712
,,,,,,5768519.658458653
,,,,,,9028799.150141807
,,,,,,37047372.86412887
,,,,,,2569186.0175746875
,,,,,,35340458.643520124
,,,,,,23307403.446511816
,,,,,,38163960.82630163
,,,,,,29989187.946213875
,,,,,,22194569.84133658
,,,,,,31384360.839111853
,,,,,,25239144.92750277
,,,,,,42174164.98253749
,,,,,,28590230.93021257
,,,,,,7424836.505758963
,,,,,,10864408.468461448
,,,,,,24286560.22401279
,,,,,,16715302.20388283
,,,,,,40626273.58798111
,,,,,,17623893.667014893
,,,,,,23272105.76300272
,,,,,,30141003.7167578
,,,,,,3699926.389879709
,,,,,,21792643.262580726
,,,,,,31728419.53484386
,,,,,,31611114.22436779
,,,,,,20583051.61429881
,,,,,,39545614.81379928
,,,,,,28509319.956991624
,,,,,,15568973.34422471
,,,,,,39466124.20902
,,,,,,1193227.69600052
,,,,,,25345760.18250729
,,,,,,34886353.131138355
,,,,,,12752059.876319217
,,,,,,2337565.0066465004
,,,,,,6596382.014087036
,,,,,,38137706.38472793
,,,,,,29195742.86724953
,,,,,,5740665.254665177
,,,,,,22657622.326733965
,,,,,,15948314.402178165
,,,,,,24317662.761506222
,,,,,,37779643.99489342
,,,,,,17612765.677866716
,,,,,,47273706.7075458
,,,,,,25813945.83345908
,,,,,,33869238.845041126
,,,,,,27048366.42926324
,,,,,,15343120.798473151
,,,,,,41403274.50008017
,,,,,,10412883.294773916
,,,,,,2930110.511888302
,,,,,,39177901.828386284
,,,,,,29598489.43059501
,,,,,,32968498.744996227
,,,,,,33641572.158333704
,,,,,,8753264.340558786
,,,,,,33060009.71613065
,,,,,,9674591.14116293
,,,,,,47654203.46383416
,,,,,,19474532.64849333
,,,,,,33465701.45808062
,,,,,,21759787.410268582
,,,,,,18165736.050925013
,,,,,,44049761.912350185
,,,,,,25563286.5436741
,,,,,,12269733.765933529
,,,,,,45045099.99535807
,,,,,,5793092.886874368
,,,,,,18492095.158009358
,,,,,,15038172.569801943
,,,,,,46178130.72668865
,,,,,,6864048.854524642
,,,,,,39118755.29806487
,,,,,,47679977.187336944
,,,,,,32092333.39147341
,,,,,,24740219.00073912
,,,,,,14552740.504469505
,,,,,,23200363.26415989
,,,,,,22954183.094709147
,,,,,,42026680.7388101
,,,,,,14874863.360309036
,,,,,,22454824.07676237
,,,,,,43785958.92000055
,,,,,,12945348.425381849
,,,,,,12698304.509879302
,,,,,,22056560.10938087
,,,,,,28931102.205214456
,,,,,,28423087.97259142
,,,,,,31316054.048136435
,,,,,,16136920.354292318
,,,,,,31323642.798089128
,,,,,,17784434.139472228
,,,,,,44353275.96990041
,,,,,,26564374.50458289
,,,,,,31835838.53427175
,,,,,,19434329.141711157
,,,,,,21930508.643875387
,,,,,,43534568.05424877
,,,,,,47850443.47830771
,,,,,,31672767.788182706
,,,,,,23826650.25436009
,,,,,,16878960.38990094
,,,,,,17033991.682360996
,,,,,,4238366.329515235
,,,,,,6423536.416735458
,,,,,,43056777.01143318
,,,,,,822354.0527432968
,,,,,,33309814.82662772
,,,,,,25336137.22659352
,,,,,,36588903.8948076
,,,,,,32299507.32503825
,,,,,,42913561.00989484
,,,,,,34160489.69339361
,,,,,,42339139.791366674
,,,,,,10364109.391811628
,,,,,,2754212.097577152
,,,,,,24872291.630796354
,,,,,,29975451.964848187
,,,,,,15707394.770313594
,,,,,,15689373.78258623
,,,,,,36931447.08417308
,,,,,,14306705.43516895
,,,,,,16975247.129588675
,,,,,,43929362.44201155
,,,,,,44797330.13193159
,,,,,,17040768.326414797
,,,,,,34765609.60205166
,,,,,,16173248.654312804
,,,,,,14673490.645668851
,,,,,,5559160.980989686
,,,,,,28758019.818888534
,,,,,,9269763.066359164
,,,,,,24983224.795418058
,,,,,,40536834.0375468
,,,,,,42846942.859459005
,,,,,,2925000.078769082
,,,,,,8904450.749457119
,,,,,,3856204.933828429
,,,,,,21887260.54482698
,,,,,,21263616.09737177
,,,,,,35715600.97774965
,,,,,,15102120.06776093
,,,,,,43920885.05242063
,,,,,,23008627.13454055
,,,,,,22883745.82089976
,,,,,,49057712.56674006
,,,,,,21180784.76895156
,,,,,,29540918.610134527
,,,,,,21693276.601786293
,,,,,,596714.9783439124
,,,,,,5532706.486904361
,,,,,,16219885.2759621
,,,,,,10937254.174367497
,,,,,,25757812.94868696
,,,,,,2370540.4806906395
,,,,,,20901358.77655636
,,,,,,27115870.25967058
,,,,,,28375732.52971127
,,,,,,14242783.92670227
,,,,,,1892055.3486689967
,,,,,,27881705.01172091
,,,,,,6403983.567227115
,,,,,,34558347.39251915
,,,,,,31086773.88395549
,,,,,,44359807.220911786
,,,,,,47107650.56971119
,,,,,,13341405.729455885
,,,,,,5900698.415255732
,,,,,,46317105.60634625
,,,,,,47678770.938101165
,,,,,,37017818.17742882
,,,,,,7029873.349773225
,,,,,,10285846.681524929
,,,,,,33430042.890890945
,,,,,,21091703.214520548
,,,,,,44119823.35136725
,,,,,,17192866.419843625
,,,,,,491084.0318977104
,,,,,,10405657.37899682
,,,,,,8663994.254489606
,,,,,,1972667.5342908304
,,,,,,37205852.59398458
,,,,,,32930045.244415656
,,,,,,37190399.41699356
,,,,,,9253430.590418702
,,,,,,37781101.467402
,,,,,,41497506.53039963
,,,,,,16024762.632259356
,,,,,,28920499.26206964
,,,,,,23516723.797396943
,,,,,,6084637.423568788
,,,,,,46312710.55763472
,,,,,,13050474.318356892
,,,,,,21962997.917062283
,,,,,,5535795.17283937
,,,,,,34936059.72092213
,,,,,,21890277.95223613
,,,,,,22922088.81117546
,,,,,,45328726.241343565
,,,,,,28970382.66685994
,,,,,,25193895.86737789
,,,,,,15641402.494868953
,,,,,,6440550.746548928
,,,,,,6105896.9598907335
,,,,,,39549489.46259826
,,,,,,44009894.92305526
,,,,,,19727741.8616085
,,,,,,35352256.18681389
,,,,,,15603951.875591137
,,,,,,35798735.22850252
,,,,,,24967660.784019787
,,,,,,41139709.44292074
,,,,,,31630309.276582032
,,,,,,7268846.119923387
,,,,,,26547941.420169063
,,,,,,41364894.72269178
,,,,,,41941347.52350216
,,,,,,7224646.157944249
,,,,,,39073314.00068892
,,,,,,7219.0441284372355
,,,,,,28206371.06902699
,,,,,,11179729.766810294
,,,,,,14596499.382446315
,,,,,,50943.1280044402
,,,,,,10811487.17809025
,,,,,,9609788.773785155
,,,,,,24194317.307935577
,,,,,,47544320.49532849
,,,,,,22671394.267387062
,,,,,,1277419.6703071203
,,,,,,24531566.12394841
,,,,,,14928597.065244025
,,,,,,37982350.00788389
,,,,,,23389409.05290605
,,,,,,23963153.042483184
,,,,,,6451773.585285457
,,,,,,37800088.07240656
,,,,,,22911312.18906905
,,,,,,42010772.33115509
,,,,,,12009596.011312028
,,,,,,14288915.583424816
,,,,,,30994721.1854683
,,,,,,19645569.670998525
,,,,,,42103178.584938064
,,,,,,11167084.344855491
,,,,,,40424265.20272779
,,,,,,6824913.381598988
,,,,,,17244946.456824575
,,,,,,23494318.5212664
,,,,,,3941510.975327015
,,,,,,8919318.793195317
,,,,,,25061994.5255685
,,,,,,32934949.651096266
,,,,,,24175210.017350987
,,,,,,28586628.66224521
,,,,,,13899095.306574488
,,,,,,32885630.109641034
,,,,,,20546716.062308248
,,,,,,2401138.0151157514
,,,,,,23992630.595170524
,,,,,,1106625.4108822376
,,,,,,18517908.832012422
,,,,,,12667534.110356586
,,,,,,32329969.536858376
,,,,,,5341146.009616591
,,,,,,17394755.387988076
,,,,,,47105900.47669012
,,,,,,46434726.97931222
,,,,,,16273676.375253402
,,,,,,6685365.570054642
,,,,,,10020316.685826652
,,,,,,24420024.05880973
,,,,,,43509811.59880976
,,,,,,13980410.732297208
,,,,,,12717472.164246226
,,,,,,43780920.968063645
,,,,,,8481040.29607755
,,,,,,32777642.12794292
,,,,,,46242207.5669133
,,,,,,18708700.07424277
,,,,,,17775520.497089468
,,,,,,44801110.69360748
,,,,,,419284.6162675703
,,,,,,1476751.0911245502
,,,,,,33567075.462954566
,,,,,,28993038.0
,,,,,,44495035.298435785
,,,,,,38651567.03375958
,,,,,,16982037.308934595
,,,,,,21957387.040151466
,,,,,,23894652.963822324
,,,,,,31570630.13443044
,,,,,,18680041.682562448
,,,,,,37294647.8851656
,,,,,,3061826.208622692
,,,,,,10419571.602211462
,,,,,,33195902.432555374
,,,,,,3740685.4137912174
,,,,,,29930627.657972123
,,,,,,2135433.473727946
,,,,,,27633296.234236903
,,,,,,23314170.61238283
,,,,,,24033878.27500551
,,,,,,21296473.96823532
,,,,,,24297835.530659206
,,,,,,4287309.100449013
,,,,,,1852703.6903290537
,,,,,,31963978.80311537
,,,,,,14744228.860722726
,,,,,,25558824.007341303
,,,,,,36881439.04361122
,,,,,,12889189.586593172
,,,,,,21984278.3404379
,,,,,,45660343.08709413
,,,,,,28291274.13862005
,,,,,,33355108.425731458
,,,,,,14780263.849422283
,,,,,,23770384.54753239
,,,,,,33032002.402249977
,,,,,,40894096.52545779
,,,,,,1099120.7237430497
,,,,,,43208035.650480434
,,,,,,35611456.705560096
,,,,,,14439980.967176585
,,,,,,13330257.582210789
,,,,,,37155431.66000747
,,,,,,23891646.314914204
,,,,,,38122232.032966346
,,,,,,13675046.50258155
,,,,,,7253032.252192158
,,,,,,2194002.355371969
,,,,,,14508902.201720469
,,,,,,10898407.87352286
,,,,,,16510560.505651165
,,,,,,12755869.867621863
,,,,,,41438850.604110666
,,,,,,10719227.602303412
,,,,,,20809706.36577786
,,,,,,11749118.350895038
,,,,,,20820663.612931043
,,,,,,11101143.284646122
,,,,,,25594812.55656597
,,,,,,6298602.239221377
,,,,,,11822858.211287586
,,,,,,22852578.39576528
,,,,,,17140728.394941013
,,,,,,33874339.35901595
,,,,,,23205584.202856105
,,,,,,8217698.485704779
,,,,,,40614535.6879909
,,,,,,36761418.564905874
,,,,,,30425781.916958783
,,,,,,440433.7703523266
,,,,,,46349279.96404537
,,,,,,39396874.89468948
,,,,,,36034072.500244245
,,,,,,10257372.63620161
,,,,,,13806083.472833756
,,,,,,13070365.32725923
,,,,,,1278331.153467224
,,,,,,46175307.74329116
,,,,,,1844412.1478849172
,,,,,,44713199.02773634
,,,,,,35023943.26137638
,,,,,,19983541.492913768
,,,,,,21178688.078551263
,,,,,,36268676.05758493
,,,,,,36096894.04000463
,,,,,,20340828.97847019
,,,,,,11861115.831796998
,,,,,,14953481.095926424
,,,,,,36150435.22091889
,,,,,,37411227.05876915
,,,,,,36275877.63773179
,,,,,,43368372.16704288
,,,,,,23173473.78607507
,,,,,,31636471.471499693
,,,,,,27915263.988680825
,,,,,,42799717.48537411
,,,,,,15432513.138589958
,,,,,,16210006.943415957
,,,,,,4130319.046032659
,,,,,,13607294.89710611
,,,,,,849178.9161709424
,,,,,,30575931.08380576
,,,,,,29598385.30932781
,,,,,,29964138.886652663
,,,,,,4825101.100666201
,,,,,,36597708.65669037
,,,,,,11329103.153163224
,,,,,,30269611.533450574
,,,,,,30656820.79073601
,,,,,,7331920.475227299
,,,,,,33767508.122442946
,,,,,,42576784.04281434
,,,,,,14385608.80430423
,,,,,,7548701.586496591
,,,,,,9618910.342652973
,,,,,,45633218.65670607
,,,,,,35547571.556086294
,,,,,,31852631.393313225
,,,,,,13044901.080260156
,,,,,,7064463.929040182
,,,,,,38500489.70121497
,,,,,,2600986.480657892
,,,,,,36758323.68823987
,,,,,,16969131.35696968
,,,,,,6515242.5902661625
,,,,,,9052735.62397786
,,,,,,18093312.97200541
,,,,,,39267446.27018387
,,,,,,35460967.236587346
,,,,,,41142064.69517842
,,,,,,32252492.736232214
,,,,,,35097508.587623395
,,,,,,31570948.83563314
,,,,,,2339933.261690011
,,,,,,8334459.457426136
,,,,,,41736433.277926005
,,,,,,27769694.07249736
,,,,,,4202242.669403419
,,,,,,21208164.501171038
,,,,,,19403207.09979373
,,,,,,38993766.485447705
,,,,,,31112170.133900717
,,,,,,39547628.30680586
,,,,,,11697143.782909932
,,,,,,35834939.34577394
,,,,,,26169066.727543704
,,,,,,24917933.767666828
,,,,,,37159409.19101934
,,,,,,17237718.79889428
,,,,,,32547472.90956279
,,,,,,13470219.101128832
,,,,,,40704487.9539989
,,,,,,12111184.853440896
,,,,,,-69245.46478875898
,,,,,,40832433.56544303
,,,,,,3679268.5702834497
,,,,,,36346062.87515607
,,,,,,2533090.182177344
,,,,,,37033685.38312883
,,,,,,36328444.269861765
,,,,,,9983052.6761138
,,,,,,13836704.509953478
,,,,,,35398450.327635
,,,,,,6149101.6436974285
,,,,,,34517399.32339082
,,,,,,41955475.59580616
,,,,,,18824530.02251735
,,,,,,11890824.38174563
,,,,,,19438973.11494864
,,,,,,5484186.755304756
,,,,,,36204625.27048699
,,,,,,38393688.128894925
,,,,,,37349077.395936616
,,,,,,10023323.710574573
,,,,,,30629879.392304968
,,,,,,16430607.599644428
,,,,,,19882708.133831654
